X,Y,OBJECTID,NAME,DIAK_CDE,CONTENTS,FIPS_CNTRY,SIZE_
5338955.45924171,3976815.7435436,937,Tedzhen, ,gas,TX,Medium
5382387.36549854,3987747.3424834,938,Shatlyk, ,gas,TX,Large
5434494.82826922,3895794.80855186,939,Dauletabad-Donmez, ,gas,TX,Very large
5456749.60125286,3990090.27031511,940,Mayskoye, ,gas,TX,Medium
5422167.83202156,4050449.97967366,941,Seyrab, ,gas,TX,Medium
5481164.79589969,4072549.00334115,942,Bayramaliyskoye, ,gas,TX,Large
5536280.72271654,4052438.76247685,943,Uchadzhi, ,gas,TX,Large
5567556.7920415,3851849.23889975,944,Karabil', ,gas,TX,Large
5539569.33156309,3778053.30933029,945,Islimskoye, ,gas,TX,Small
5641754.79164859,4158240.83215685,946,Urtabulak, ,gas,UZ,Large
5698808.87791753,4148162.05137866,947,Mubarek Severnyy i Yuzhnyy, ,gas,UZ,Medium
5780346.21280076,4111065.29230624,948,Shurtan, ,gas,UZ,Very large
5859981.68334058,3888581.30381136,949,Hadia-Gugerdag, ,gas,AF,Large
5801053.54403107,3877994.90370904,950,Djarkuduk, ,gas,AF,Medium
5737773.30311471,4841866.90975512,951,Pridorozhnoye, ,gas,KZ,Small
6064582.34371949,4706700.96300681,952,Ayrakty, ,gas,KZ,Medium
